TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES COMMON NAME;SUBSPECIES SCIENTIFIC NAME
8288;slash;avibase-0036B298;Common/Long-legged Buzzard;Buteo buteo/rufinus        ;                                ;                                  
31033;form;avibase-008B89FA;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (lutea/fl;Motacilla flava lutea/flavissima  
24331;slash;avibase-008C4FA7;Common/Iberian Chiffchaff ;Phylloscopus collybita/iber;                                ;                                  
6419;species;avibase-00DA9D91;Common Gull               ;Larus canus                ;                                ;                                  
11808;spuh;avibase-01B04C17;large falcon sp.          ;Falco sp. (large falcon sp.;                                ;                                  
19578;species;avibase-022798AB;Black-crowned Tchagra     ;Tchagra senegalus          ;                                ;                                  
19579;issf;avibase-02972D84;Black-crowned Tchagra     ;Tchagra senegalus          ;Black-crowned Tchagra (Hooded)  ;Tchagra senegalus cucullatus      
1550;domestic;avibase-02F904D5;Red Junglefowl            ;Gallus gallus              ;Red Junglefowl (Domestic type)  ;Gallus gallus (Domestic type)     
23551;species;avibase-031684BA;Plain Martin              ;Riparia paludicola         ;                                ;                                  
6661;issf;avibase-04B49AE7;Sandwich Tern             ;Thalasseus sandvicensis    ;Sandwich Tern (Eurasian)        ;Thalasseus sandvicensis sandvicens
6404;species;avibase-052BFA8A;Mediterranean Gull        ;Ichthyaetus melanocephalus ;                                ;                                  
6955;species;avibase-058773E4;Bulwer's Petrel           ;Bulweria bulwerii          ;                                ;                                  
7811;species;avibase-05F11441;Bonelli's Eagle           ;Aquila fasciata            ;                                ;                                  
2852;species;avibase-06B41945;Black-bellied Sandgrouse  ;Pterocles orientalis       ;                                ;                                  
6007;species;avibase-06B9BD24;Sanderling                ;Calidris alba              ;                                ;                                  
8086;species;avibase-06D9A2C8;Black Kite                ;Milvus migrans             ;                                ;                                  
28979;species;avibase-06DD9D95;Common Redstart           ;Phoenicurus phoenicurus    ;                                ;                                  
6283;spuh;avibase-070E73F9;jaeger/skua sp.           ;Stercorarius sp.           ;                                ;                                  
5459;spuh;avibase-0746FB35;moorhen/coot/gallinule sp.;Gallinula/Fulica/Porphyrio ;                                ;                                  
623;species;avibase-0783A7EA;Ring-necked Duck          ;Aythya collaris            ;                                ;                                  
29167;species;avibase-078BC0ED;Desert Wheatear           ;Oenanthe deserti           ;                                ;                                  
508;domestic;avibase-07FFC1E5;Mallard                   ;Anas platyrhynchos         ;Mallard (Domestic type)         ;Anas platyrhynchos (Domestic type)
29248;spuh;avibase-07FFFF1F;wheatear sp.              ;Oenanthe sp.               ;                                ;                                  
6125;species;avibase-0895DD84;Spotted Redshank          ;Tringa erythropus          ;                                ;                                  
604;spuh;avibase-093E93E1;teal sp.                  ;Anatidae sp. (teal sp.)    ;                                ;                                  
1889;issf;avibase-09790D38;Common Wood-Pigeon        ;Columba palumbus           ;Common Wood-Pigeon (White-necked;Columba palumbus [palumbus Group] 
31216;species;avibase-0A3FA185;Water Pipit               ;Anthus spinoletta          ;                                ;                                  
26683;issf;avibase-0B7E7861;Eurasian Wren             ;Troglodytes troglodytes    ;Eurasian Wren (Eurasian)        ;Troglodytes troglodytes [troglodyt
24269;species;avibase-0C120038;Yellow-browed Warbler     ;Phylloscopus inornatus     ;                                ;                                  
2033;species;avibase-0C1EFC9B;Eurasian Collared-Dove    ;Streptopelia decaocto      ;                                ;                                  
11811;spuh;avibase-0C24147B;diurnal raptor sp.        ;Accipitriformes/Falconiform;                                ;                                  
6471;issf;avibase-0CFFDCF7;Lesser Black-backed Gull  ;Larus fuscus               ;Lesser Black-backed Gull (interm;Larus fuscus intermedius          
7300;issf;avibase-0DB2F2AE;Gray Heron                ;Ardea cinerea              ;Gray Heron (Gray)               ;Ardea cinerea cinerea/jouyi       
21130;spuh;avibase-0E2764BF;raven sp.                 ;Corvus sp. (raven sp.)     ;                                ;                                  
29041;species;avibase-0EA8F8B9;European Stonechat        ;Saxicola rubicola          ;                                ;                                  
7250;species;avibase-0F42F11A;Great Bittern             ;Botaurus stellaris         ;                                ;                                  
1771;species;avibase-0F9B5174;Greater Flamingo          ;Phoenicopterus roseus      ;                                ;                                  
916;species;avibase-1044B438;Helmeted Guineafowl       ;Numida meleagris           ;                                ;                                  
6600;species;avibase-115AF02D;Black Tern                ;Chlidonias niger           ;                                ;                                  
564;issf;avibase-115F04DD;Green-winged Teal         ;Anas crecca                ;Green-winged Teal (Eurasian)    ;Anas crecca crecca                
12477;species;avibase-11783075;Monk Parakeet             ;Myiopsitta monachus        ;                                ;                                  
24327;species;avibase-12EE678E;Iberian Chiffchaff        ;Phylloscopus ibericus      ;                                ;                                  
7565;species;avibase-1327AC55;Osprey                    ;Pandion haliaetus          ;                                ;                                  
31835;species;avibase-135564AA;Red Crossbill             ;Loxia curvirostra          ;                                ;                                  
6002;species;avibase-143A681C;Curlew Sandpiper          ;Calidris ferruginea        ;                                ;                                  
31198;species;avibase-14873249;Meadow Pipit              ;Anthus pratensis           ;                                ;                                  
24810;species;avibase-14AFBA82;Greater Whitethroat       ;Curruca communis           ;                                ;                                  
6010;species;avibase-15369E8E;Dunlin                    ;Calidris alpina            ;                                ;                                  
6036;species;avibase-153BA306;White-rumped Sandpiper    ;Calidris fuscicollis       ;                                ;                                  
7662;species;avibase-158BDC90;Cinereous Vulture         ;Aegypius monachus          ;                                ;                                  
6135;species;avibase-15CF9352;Marsh Sandpiper           ;Tringa stagnatilis         ;                                ;                                  
475;species;avibase-15EE0D36;Eurasian Wigeon           ;Mareca penelope            ;                                ;                                  
21450;species;avibase-166CD440;Coal Tit                  ;Periparus ater             ;                                ;                                  
