COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L10002260;P;28.6;-10.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10006080;H;30.9;-6.9
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10006088;H;31.2;-9.7
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10006092;P;31.6;-7.7
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10006093;H;31.2;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10006094;H;31;-8.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10006098;H;31.4;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10006099;P;31.2;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10006100;H;30.9;-8.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10006108;H;31.5;-5
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10006109;P;32.7;-4.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10006113;P;31.3;-7.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10007656;P;32.7;-4.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10010693;P;31.4;-7.8
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10010715;P;33.9;-5.6
Morocco;MA;Gharb-Chrarda-Beni Hssen;MA-02;;;L10010743;P;34.8;-6.3
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10012845;P;31.6;-8.4
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10016468;P;31.8;-9.4
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10016540;P;31.5;-9.6
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10020084;P;33.9;-5.6
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10020305;P;34;-5.6
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10024690;P;31.7;-5
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10025054;P;31.3;-7.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10029554;P;31.8;-4.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10030537;P;30.3;-9.6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10030642;P;30;-9.6
Morocco;MA;Fès-Boulemane          ;MA-05;;;L10034863;P;34.1;-5
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10035875;P;31.6;-8
Morocco;MA;Doukkala-Abda           ;MA-10;;;L10037623;P;32.9;-8.8
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L10038000;P;29.8;-8.5
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10039577;P;31.4;-5.3
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10041051;P;31;-7.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10042483;P;30.1;-9.7
Morocco;MA;Doukkala-Abda           ;MA-10;;;L10042550;P;32.7;-8.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10048008;P;30.7;-8.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10053071;P;30.9;-6.9
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L10062830;P;31.3;-4.2
Morocco;MA;Grand Casablanca        ;MA-08;;;L10065524;P;33.6;-7.6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10065565;P;30.7;-6.4
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10066177;P;31.6;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10068857;P;30.7;-8.2
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L10069748;P;34;-6.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10077900;P;30.5;-9.3
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10078661;P;31.5;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L10079404;P;30.9;-6.9
Morocco;MA;Tadla-Azilal            ;MA-12;;;L10080159;P;32;-6.6
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10083473;P;31.5;-8.5
Morocco;MA;L'Oriental              ;MA-04;;;L10084332;P;35.3;-3
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10086214;P;31.2;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10086216;P;31.4;-7.9
Morocco;MA;L'Oriental              ;MA-04;;;L10087875;P;35.4;-3
Morocco;MA;L'Oriental              ;MA-04;;;L10087884;P;35.1;-2.5
Morocco;MA;L'Oriental              ;MA-04;;;L10087885;P;35.1;-2.7
Morocco;MA;L'Oriental              ;MA-04;;;L10087888;P;35.4;-3
Morocco;MA;Fès-Boulemane          ;MA-05;;;L10087927;P;33.9;-5
Morocco;MA;Fès-Boulemane          ;MA-05;;;L10087931;P;33.9;-5
Morocco;MA;Fès-Boulemane          ;MA-05;;;L10087934;P;34;-4.8
Morocco;MA;Taza-Al Hoceima-Taounate;MA-03;;;L10087935;P;34;-4.5
Morocco;MA;Taza-Al Hoceima-Taounate;MA-03;;;L10087937;P;34.2;-4.3
Morocco;MA;L'Oriental              ;MA-04;;;L10087947;P;34.9;-2.9
Morocco;MA;L'Oriental              ;MA-04;;;L10087948;P;34.9;-2.9
Morocco;MA;L'Oriental              ;MA-04;;;L10087958;P;35.2;-2.9
Morocco;MA;L'Oriental              ;MA-04;;;L10087960;P;35.3;-2.9
Morocco;MA;L'Oriental              ;MA-04;;;L10087963;P;35.1;-2.8
Morocco;MA;Tadla-Azilal            ;MA-12;;;L10089792;P;31.9;-6.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10090195;P;31.6;-8
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L10096700;P;34;-6.8
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L10096715;P;33.8;-5.9
Morocco;MA;Fès-Boulemane          ;MA-05;;;L10096796;P;34;-5
Morocco;MA;Doukkala-Abda           ;MA-10;;;L10099200;P;33;-8.7
Morocco;MA;Doukkala-Abda           ;MA-10;;;L10099414;P;32.9;-8.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L10107152;P;31.6;-8
Morocco;MA;L'Oriental              ;MA-04;;;L10112770;H;32.6;-1.6
Morocco;MA;L'Oriental              ;MA-04;;;L10113825;P;32.1;-1.2
